71.2,66
68.2,-5
75.5,-6
100,11
,
89.1,-33
93.7,11
62.8,32
,
94.7,6
,
91.8,30
98.6,39
,
106.3,14
,
83.5,39
99.3,17
72.4,12
71.8,-22
,
97.8,-4
104,-12
101.9,34
99.3,4
,
,
29.5,29
96.8,50
,
105.6,26
102.7,-11
80.6,48
,
98.9,31
96,43
,
81.3,4
88.7,-29
87.6,21
105.4,28
49.6,68
,
,
71.7,-29
103.1,23
96.5,7
92.9,20
84.5,62
96,31
,
107.7,6
,
83.5,21
105.9,4
93.1,8
104.1,-4
84.5,-26
,
88.3,56
73.4,1
,
86.1,46
,
56.4,78
96.1,-25
,
96.3,-8
,
43.1,62
70.5,-20
,
,
98.5,29
103.8,8
92.7,33
,
80.9,62
88,43
,
,
,
104.9,27
89.4,-40
104.9,12
79.2,72
85.3,32
93.9,-9
93.3,-11
,
29.3,-11
86,-27
90.2,36
106.6,-5
,
101.3,22
102.9,25
93.6,54
,
83,24
,
81.7,50
,
,
91.3,23
90.7,2
93.7,24
,
,
106.3,3
,
,
97.5,30
109.7,-3
69.1,67
76.1,64
98.6,32
94.3,11
,
97,1
94.2,47
77.4,52
99.5,27
,
91.5,25
,
85.9,56
79.3,17
91.5,34
46.2,-34
56.2,-73
86.5,39
78.2,68
86.8,-10
105.6,13
,
96.2,-4
,
100,-20
108.4,8
81.7,-13
97.5,-9
104.2,-3
95,8
102,5
,
72.5,-11
70.8,-54
87.6,-24
65,48
,
88.9,42
101.8,13
,
84.9,76
,
,
96.8,9
86.3,9
104.8,24
,
,
104.1,24
,
99.5,27
100.7,-7
50.5,77
,
94.8,11
97.2,19
99.1,28
,
86.9,11
97.9,6
95.7,59
,
88.5,58
,
98.1,32
85,7
101.7,25
72,39
90.7,10
,
100.4,-22
95.4,-4
67.1,55
81.1,61
77.4,15
,
77.5,-31
,
87.5,5
36.8,-52
106.9,18
,
102.1,29
,
86.3,76
100.3,6
94.5,-18
101,30
99,19
75.4,14
94.7,15
103.8,-15
97.8,-3
,
78.9,-55
104.6,10
79.4,26
89.4,17
81.1,-3
74.1,-20
101.5,18
93.3,-33
,
91.2,-2
77.2,22
71.5,31
91,4
,
73.3,12
,
91.9,6
108.4,-18
82.4,10
93.3,16
92.2,21
,
96.2,2
92.7,-7
89.5,-28
102.6,9
103.4,-2
,
,
100.4,-20
66.5,35
99.4,34
,
102.6,26
,
22.5,-14
87.5,61
77.2,76
,
,
99.8,18
84.5,-32
70.9,17
94.9,3
96.2,4
61.9,-39
103.6,-17
88.5,36
,
,
88.1,51
97.8,30
,
81.1,70
101.2,29
74,24
,
104.7,18
82.3,-14
,
84.1,44
68.4,8
100.7,-24
87.3,37
64.9,1
91.4,32
96,16
98.5,-24
84.5,43
,
87,14
68.9,-44
96.3,11
,
,
102.1,27
100.7,7
,
90.6,12
62.4,-2
104.5,10
85,76
90.9,15
75.3,-13
85.3,22
95.4,44
108,19
,
88.8,50
89.1,9
98.3,37
78.8,-11
,
92.7,13
,
,
61.9,75
,
100.5,15
,
90.1,38
99.8,16
100.6,30
93.7,-23
105.1,-6
,
,
,
103.1,3
103.1,-9
81.7,30
,
100.7,30
,
102.6,35
,
104.6,37
,
102.7,6
84.8,27
104.5,28
101,14
78.6,7
,
86.2,40
,
67.4,73
,
,
84.5,-10
77.1,20
,
73.3,-59
94,38
90.4,26
,
,
90.6,-6
67.1,31
90.5,36
76.7,-1
92.3,11
,
97,-19
,
85.9,24
,
101.2,15
,
,
100.3,-2
,
86.9,37
92.4,14
96.5,22
83.1,-25
84,26
,
,
99.6,16
76.3,36
100.3,27
109,-3
96.6,13
108.8,19
104.4,27
98.7,12
99.8,10
101.4,-32
,
88.4,-15
,
90.9,60
83.4,-22
101.4,-25
101.5,-7
92.7,44
80.1,39
109.3,5
99.2,33
65,56
77.9,55
89.7,21
101.6,19
61.8,64
19.4,-36
94,22
,
,
101.7,-5
99.8,13
51.9,27
,
,
89.5,5
89.3,-42
93.5,17
83.5,57
76.8,78
100.1,11
90.5,42
,
,
98.1,-12
56.6,-31
77.6,31
,
105.1,2
91.5,16
,
84.9,16
90.6,39
,
,
,
103.4,-4
,
87.8,-10
83.2,52
68.8,40
93.4,46
91.6,49
95.2,-2
,
82.9,57
,
,
91.8,37
94.2,50
,
,
64.1,-28
94.4,-40
,
,
74.8,20
,
94,-18
95.3,-1
97.5,29
,
70.5,-28
102.5,5
,
77,7
94.3,-8
97.5,19
,
69.3,27
,
73.3,35
94.2,17
,
,
99.4,-5
94.1,24
97.4,5
89.5,15
70.7,58
84.3,29
81.2,-46
65.7,11
,
101.5,35
33.3,-41
75.8,24
,
96,9
,
74.4,-36
105.7,4
95.9,-13
101.5,-20
98.8,25
65.8,15
,
91.9,2
,
50.2,-80
79.4,87
100.9,38
91.2,19
90.3,54
73.6,0
,
66.2,29
99.5,26
84.3,41
103.8,11
89.8,29
100.4,34
104,-20
95.9,36
25.2,-57
,
99,26
101,7
99.5,-13
,
,
,
101.8,-12
93.9,34
,
83.3,37
,
,
92.6,10
77.1,0
98.3,-6
93.4,22
84,-3
90.1,29
87.6,-3
107.1,12
86.2,62
,
78.5,80
106,25
77.1,19
93.5,28
105.6,28
77.3,-4
,
93.1,0
46.1,-68
98.3,-16
48.4,20
58.5,-23
97.3,4
,
,
70.6,58
,
104,9
54,-32
97.8,2
101.6,15
,
73.9,12
91,57
100,-4
88.7,28
85,-8
97.6,-5
100.5,-17
44.4,-66
,
102.2,-4
,
98.8,24
87.7,45
,
75.8,8
98.3,22
,
77.4,29
93.8,39
86.1,2
,
,
103.5,2
,
86.8,5
,
92.8,45
97.1,5
65.9,3
,
88.8,-66
59.3,9
,
,
96.2,8
,
,
97.1,-6
106.2,7
81.5,51
84.8,57
98.4,35
,
92.3,-6
93,15
,
,
95.2,-12
105.1,25
,
92.6,29
,
,
103.9,9
87.9,-28
105.2,6
,
89,55
100.6,13
,
98.6,1
100.6,13
97.7,35
94.9,23
98.4,8
77,-6
84.2,22
88.5,4
72.8,17
,
93.5,30
56.5,-8
