95.9,-27
59.3,-51
98.5,65
103.8,36
109.3,50
112.7,18
82.2,63
109.1,29
106.2,-9
104,25
100.6,3
105.8,44
89.4,18
75.9,34
101.1,-12
100.4,-16
103.9,52
82.9,1
103.3,17
107.4,24
106.9,6
102.4,-10
70.4,-44
103.6,48
94.3,-14
82.6,-2
84.5,-1
75.4,1
88.7,29
108,24
107.3,30
74.6,5
98.5,38
110.6,42
108.5,36
76.6,37
100.5,-12
113.3,-7
91.5,14
73.9,-2
108.8,-13
88.4,-10
109.8,-10
56.8,-3
72.7,2
103.9,-13
84.8,25
96.8,25
99.9,37
96.4,41
107.3,-15
95,-16
106.9,-10
101,56
102.8,47
88.9,31
103.8,26
114.9,17
113.3,-26
108.6,-18
113.9,8
94,44
100.6,34
110,6
79.5,10
108.6,11
104,-3
107,-18
111.8,6
84.2,-1
82.1,6
107.3,-31
84.5,22
110,31
98.9,7
99.7,27
111.5,16
111.9,4
94.4,23
99.8,29
115.3,0
74.2,22
80.4,9
111.1,-15
110.3,11
85.7,19
73.1,36
106.4,-14
113.8,5
110,13
94.5,50
89.6,55
107,20
92.1,5
109.9,-20
102,-21
97.4,-20
92.6,17
101.8,36
63.6,18
66.7,-29
100.3,20
87.7,-18
58.4,40
86.2,14
114.3,17
104.8,11
91.4,36
103.1,-26
100.2,16
73,55
108.6,11
94.1,48
85.5,20
96.8,21
89.6,12
81.9,13
71.4,-12
80.1,53
104.3,4
105.3,17
112.3,0
107.5,28
107,17
87,68
111.1,7
109.1,14
76,43
92,67
75.7,5
96.6,60
97.2,1
101.5,31
76.8,-1
87.6,14
76.9,49
93,34
100.4,-4
115.2,0
95.6,0
93.4,30
115,-5
100.4,51
69.1,-31
68,41
104.3,46
103,13
106.7,-16
96.3,-1
84,-30
114.6,1
93.2,9
77.3,-41
54.1,-73
106.8,31
75.7,-12
101.4,11
101.7,-4
97.2,62
100.2,19
104.9,0
76.2,-10
115.3,-9
100.6,28
72.6,-1
103.6,-1
90.5,-34
106.9,32
80.4,3
85.7,9
102.1,13
113.9,-2
103.3,31
88.9,6
56.4,-30
90.3,14
107.5,-6
54.3,-48
100.2,32
74.8,3
104.5,31
90.3,50
88.3,33
94.8,3
77.9,33
109,30
90.4,28
97.3,71
116.4,15
85.1,68
106,29
73.4,-38
107.4,11
105.9,8
90.3,3
79.5,-6
103.5,24
99.3,-31
93.2,49
107.8,16
109.3,10
100.7,28
80.3,30
102.1,27
98.2,-19
112.4,7
64,2
61.2,-38
109.2,11
109.9,5
92.5,10
65.5,43
104.9,-15
79.1,-46
73.4,-9
119,10
113.9,0
93.7,26
104.9,5
76.2,60
101.4,-8
79.3,25
101.1,19
93.6,21
97.5,-7
65.5,-35
106.6,21
106.5,22
103,-32
108,16
100.2,-4
90.8,1
115.5,12
100.2,-1
83.4,31
108.7,7
111.4,18
100.7,15
92.6,-21
68.7,68
93.3,27
115.1,13
76.5,49
92.4,33
86.8,-2
82.5,-16
105.8,38
98.8,32
71.8,-42
106,33
100.1,7
88.3,33
108.3,3
111.4,7
97.5,27
102.1,20
94.7,-2
99.8,-17
92,12
100.7,40
86.5,-14
90.7,34
112.2,30
97.2,4
93.9,41
89.6,-7
111.6,4
117.4,14
84.7,18
106.7,9
114.6,-1
102.4,-6
95.1,8
92.1,26
105.8,-8
92.7,12
107.8,-8
98.8,31
81,1
108.2,7
105.7,1
86,9
101.5,-2
62.3,-31
114.7,24
89,15
91.3,13
104.7,21
96.6,29
101.4,39
105.3,29
103.8,24
77,37
110,14
92.4,45
78.3,15
81.8,19
101.3,-1
86.2,-28
96.9,12
116.1,-14
88.3,16
106.4,24
70.4,50
74.2,-10
83.5,48
111.6,0
105.5,-5
90.1,-5
104,17
109.9,-21
101.5,-24
108,21
108.4,11
112.1,13
57.7,-46
97.2,30
83.7,-24
100,45
111.3,26
89.8,19
116.2,19
84.9,18
111.8,11
107,33
89.2,-31
100.3,20
79.4,34
103.2,10
82.3,49
81.1,13
96.3,22
105.3,13
110.6,-6
69,-55
82.4,14
115.5,-7
96.4,30
105.7,20
107.9,17
92.9,46
79.8,5
92.4,8
75.6,6
83.1,0
111.9,29
101.5,23
94.4,43
97.9,-16
99.3,-2
99.2,4
98.2,18
109.7,-19
105,-15
112.9,14
90.5,4
110.9,27
87.9,30
110.7,5
85.2,8
109.9,4
104,38
102.5,0
89.9,-32
92.8,57
82.4,5
114.1,8
100.4,23
90.3,12
89.8,0
115.1,9
107.2,-6
106,5
78.9,5
