97,27
56,7
99.3,5
82.5,51
80.8,49
74.3,65
108.6,38
100.6,65
57.3,-85
84.8,75
112.1,30
81.1,-14
95.4,53
114.2,25
103.6,38
83.8,11
101.8,36
103.3,28
95.2,47
78,67
110.2,24
38.7,-53
75.4,78
86.3,36
88.4,39
108.7,23
82.9,43
104.6,-1
98.6,71
108.2,22
82.1,12
78.9,16
86.7,80
95.4,-10
47.1,-56
66.6,58
95.7,66
82.9,3
89.4,44
104.9,56
95.4,19
78.3,11
81.4,1
75.3,-19
34.3,48
83.9,16
95,-6
99.2,32
89,54
95.4,-4
113,39
77.4,34
99.4,38
107.5,20
99.3,-8
97.8,50
82.7,47
110.5,17
96,52
112.1,24
37.6,-11
113.8,36
100.5,43
99.6,49
89.9,55
105.2,64
75,-4
106.6,5
104.8,13
50.8,-40
91.9,-8
101.1,-3
109.5,48
107.7,14
93.1,23
90.2,-4
95.7,-17
104,18
92.5,55
98.8,69
107.3,22
102.7,23
87.3,42
78.3,20
60.4,-43
84.9,33
100.6,-1
97,31
71,-4
107,27
79.7,64
88.4,-23
89.2,2
100.4,53
70.5,-38
82.7,63
100.9,46
93.3,7
76.3,65
91.5,67
95.6,-19
30.5,-73
71.2,-13
93.4,17
98,3
86.8,3
111.5,44
69.5,59
84.7,11
111.6,27
109.4,26
96,5
105,29
104.4,-4
109.3,-6
79.8,45
107,35
108.9,12
110.8,14
102.6,33
84.6,-5
93.2,51
103.8,27
105.2,34
77.7,61
102.3,32
108.1,29
111.7,31
82,61
93.8,14
99.5,-3
76.3,-4
87.4,34
102.8,53
103.7,3
108.7,26
53.3,-83
111.4,36
75.9,30
32.1,-31
73.6,-8
93.6,38
75.8,25
85.6,60
109.9,44
96.9,9
96.4,63
109.6,12
88.3,13
95.8,68
88.4,-29
67.8,34
92.3,18
79.1,8
98.5,19
79.1,1
99.5,32
105.2,60
97.9,28
83.5,10
80.7,14
93.1,37
108.3,27
84,21
77,-44
88,36
94.4,49
63.9,68
91.3,24
93.9,-10
84.7,-3
108,27
80.2,3
90,-13
86.6,28
83.8,36
111.2,21
108.2,20
79.3,0
114.1,37
102.1,61
103.1,60
49.6,-56
92,56
103.1,58
91.2,2
92,65
75.8,7
77.9,-43
96.7,53
115.1,12
66,64
75.2,-11
81,59
108.3,-5
109,42
105.6,23
74.5,25
112.5,11
99.5,44
97.4,-22
96.7,-8
89.5,64
101.9,14
105.4,-5
93.5,53
86.9,4
89.8,-6
43.8,-17
76,84
91.2,6
109.3,23
102.7,31
38.5,-45
97.1,64
106.4,-1
91.9,-8
71.5,-12
107.8,29
88.4,2
75,-8
79.4,70
108.7,19
60.3,-56
77.2,66
105.4,26
104.3,25
105.5,11
105.7,22
84.2,20
101.4,46
86,26
93.3,53
58,-44
87.1,60
70,-13
114.3,22
76.4,25
80.3,18
72.1,30
103.7,-9
55,-15
38.5,10
95.7,47
99.9,-5
87.5,-1
93.1,4
88.4,57
94.5,62
72.5,24
53.9,39
89.6,10
74.8,22
109.3,12
98.8,45
95.6,65
74.7,-15
109.2,9
98.2,-5
70.8,-67
78.8,-7
95.9,30
89.4,34
71.1,2
89.8,70
105.8,-7
94.8,2
110.3,6
111.4,1
111.7,24
90.3,7
98.7,74
94.9,-7
